Scenario, 2

Time, ActionID, Action Parameters...
104529, 1811, 15, 8
104529, 1811, 21, 8
104529, 1811, 38, 8
104529, 1811, 40, 8
104533, 1814, 1
104533, 1814, 2
104533, 1814, 3
104533, 1814, 4
104533, 1814, 5
104533, 1814, 6
104533, 1814, 7
104533, 1814, 8
104533, 1814, 9
104533, 1814, 10
104533, 1814, 11
104533, 1814, 12
104533, 1814, 14
104533, 1814, 15
104533, 1814, 21
104533, 1814, 38
104533, 1814, 40
104534, 1811, 1, 8
104534, 1811, 2, 8
104534, 1811, 3, 8
104534, 1811, 4, 8
104534, 1811, 5, 8
104534, 1811, 6, 8
104534, 1811, 7, 8
104534, 1811, 8, 8
104534, 1811, 9, 8
104534, 1811, 10, 8
104534, 1811, 11, 8
104534, 1811, 12, 8
104534, 1811, 14, 8
104534, 1811, 15, 8
104534, 1811, 21, 8
104534, 1811, 38, 8
104534, 1811, 40, 8
104538, 1811, 1, 8
104538, 1811, 2, 8
104538, 1811, 3, 8
104538, 1811, 4, 8
104538, 1811, 5, 8
104538, 1811, 6, 8
104538, 1811, 7, 8
104538, 1811, 8, 8
104538, 1811, 9, 8
104538, 1811, 10, 8
104538, 1811, 11, 8
104538, 1811, 12, 8
104538, 1811, 14, 8
104538, 1811, 15, 8
104538, 1811, 21, 8
104538, 1811, 38, 8
104538, 1811, 40, 8
104542, 1814, 1
104542, 1814, 2
104542, 1814, 3
104542, 1814, 4
104542, 1814, 5
104542, 1814, 6
104542, 1814, 7
104542, 1814, 8
104542, 1814, 9
104542, 1814, 10
104542, 1814, 11
104542, 1814, 12
104542, 1814, 14
104542, 1814, 15
104542, 1814, 21
104542, 1814, 38
104542, 1814, 40
104543, 1811, 1, 8
104543, 1811, 2, 8
104543, 1811, 3, 8
104543, 1811, 4, 8
104543, 1811, 5, 8
104543, 1811, 6, 8
104543, 1811, 7, 8
104543, 1811, 8, 8
104543, 1811, 9, 8
104543, 1811, 10, 8
104543, 1811, 11, 8
104543, 1811, 12, 8
104543, 1811, 14, 8
104543, 1811, 15, 8
104543, 1811, 21, 8
104543, 1811, 38, 8
104543, 1811, 40, 8
104547, 1811, 1, 8
104547, 1811, 2, 8
104547, 1811, 3, 8
104547, 1811, 4, 8
104547, 1811, 5, 8
104547, 1811, 6, 8
104547, 1811, 7, 8
104547, 1811, 8, 8
104547, 1811, 9, 8
104547, 1811, 10, 8
104547, 1811, 11, 8
